2011/06/03,159,160,156,156,121,000,156
2011/06/06,154,154,144,144,205,000,144
2011/06/07,146,151,145,149,61,000,149
2011/06/08,149,150,147,150,65,000,150
2011/06/09,151,158,151,156,145,000,156
2011/06/10,156,158,154,158,124,000,158
2011/06/13,154,158,154,157,114,000,157
2011/06/14,159,162,158,160,113,000,160
2011/06/15,161,163,159,161,88,000,161
2011/06/16,162,162,158,158,55,000,158
2011/06/17,157,159,155,156,58,000,156
2011/06/20,154,154,152,153,59,000,153
2011/06/21,155,161,155,161,91,000,161
2011/06/22,162,163,159,160,114,000,160
2011/06/23,160,163,160,163,76,000,163
2011/06/24,163,163,160,160,43,000,160
2011/06/27,158,162,158,160,51,000,160
2011/06/28,162,162,158,160,44,000,160
2011/06/29,160,160,157,158,24,000,158
2011/06/30,156,156,145,151,215,000,151
2015/08/24,230,233,215,216,129,000,216
2015/08/25,213,227,213,213,95,000,213
2015/08/26,215,230,215,226,68,000,226
2015/08/27,232,233,224,225,61,000,225
2015/08/28,231,233,228,232,25,000,232
2015/08/31,235,237,230,232,36,000,232
2015/09/01,232,232,222,223,51,000,223
2015/09/02,217,223,217,220,16,000,220
2015/09/03,223,223,217,217,24,000,217
2015/09/04,217,217,213,214,50,000,214
2015/09/07,210,213,205,211,45,000,211
2015/09/08,215,215,212,212,13,000,212
2015/09/09,217,219,214,219,36,000,219
2015/09/10,216,222,213,219,48,000,219
2015/09/11,223,241,222,239,201,000,239
2015/09/14,250,250,241,242,298,000,242
2015/09/15,238,240,220,230,145,000,230
2015/09/16,233,235,226,227,48,000,227
2015/09/17,230,230,227,229,41,000,229
2015/09/18,230,230,223,227,43,000,227
2015/09/24,227,227,224,226,16,000,226
2015/09/25,226,229,225,228,25,000,228
2015/09/28,230,236,230,233,10,000,233
2015/09/29,230,230,220,221,57,000,221
2015/09/30,225,225,222,224,14,000,224
2015/10/01,223,228,223,223,14,000,223
2015/10/02,222,228,222,226,18,000,226
2015/10/05,230,230,227,228,7,000,228
2015/10/06,229,231,227,231,34,000,231
2015/10/07,228,231,228,228,15,000,228
2015/10/08,230,230,228,229,28,000,229
2015/10/09,229,231,229,231,28,000,231
