2011/06/02,3,630,3,630,3,630,3,630,60,3,630
2011/06/03,3,700,3,700,3,630,3,640,740,3,640
2011/06/06,3,645,3,645,3,645,3,645,580,3,645
2011/06/07,3,645,3,670,3,645,3,665,90,3,665
2011/06/08,3,700,3,700,3,630,3,630,80,3,630
2011/06/09,3,650,3,650,3,650,3,650,30,3,650
2011/06/13,3,600,3,625,3,555,3,625,390,3,625
2011/06/14,3,600,3,620,3,600,3,620,680,3,620
2011/06/15,3,680,3,700,3,680,3,700,340,3,700
2011/06/16,3,650,3,680,3,650,3,680,290,3,680
2011/06/17,3,690,3,690,3,690,3,690,130,3,690
2011/06/20,3,585,3,585,3,585,3,585,30,3,585
2011/06/21,3,625,3,625,3,605,3,605,210,3,605
2011/06/22,3,620,3,620,3,595,3,595,380,3,595
2011/06/23,3,610,3,610,3,585,3,585,280,3,585
2011/06/24,3,600,3,630,3,600,3,630,360,3,630
2011/06/27,3,630,3,630,3,625,3,625,200,3,625
2011/06/28,3,615,3,615,3,610,3,610,330,3,610
2011/06/29,3,655,3,675,3,625,3,675,130,3,675
2011/06/30,3,650,3,650,3,650,3,650,200,3,650
2015/05/13,3,565,3,640,3,565,3,640,230,3,640
2015/05/14,3,365,3,365,3,365,3,365,70,3,365
2015/05/15,3,315,3,315,3,315,3,315,30,3,315
2015/05/29,3,270,3,270,3,270,3,270,40,3,270
2015/06/02,3,270,3,270,3,270,3,270,20,3,270
2015/06/08,3,250,3,270,3,250,3,270,40,3,270
2015/06/11,3,320,3,320,3,320,3,320,400,3,320
2015/07/08,3,000,3,000,3,000,3,000,50,3,000
2015/07/13,2,970,2,970,2,970,2,970,10,2,970
2015/07/17,3,010,3,010,3,010,3,010,30,3,010
2015/07/24,3,010,3,010,3,010,3,010,10,3,010
2015/07/28,2,960,2,960,2,960,2,960,10,2,960
2015/08/20,2,902,2,902,2,902,2,902,40,2,902
2015/08/24,2,790,2,790,2,790,2,790,100,2,790
2015/08/25,2,730,2,730,2,730,2,730,20,2,730
2015/08/26,2,986,2,986,2,986,2,986,30,2,986
2015/09/02,2,900,2,900,2,800,2,800,60,2,800
2015/09/07,2,770,2,770,2,770,2,770,50,2,770
2015/09/09,2,800,2,800,2,800,2,800,30,2,800
2015/09/17,2,900,2,900,2,900,2,900,30,2,900
2015/09/24,2,713,2,913,2,713,2,913,20,2,913
