2015/06/09,2,100,2,100,2,100,2,100,10,2,100
2015/06/12,2,100,2,100,2,037,2,037,120,2,037
2015/06/18,2,040,2,040,2,039,2,040,30,2,040
2015/06/19,2,049,2,049,2,049,2,049,10,2,049
2015/06/22,2,021,2,050,2,021,2,050,60,2,050
2015/06/24,2,026,2,026,2,026,2,026,50,2,026
2015/06/25,2,036,2,036,2,036,2,036,10,2,036
2015/07/01,2,186,2,186,2,186,2,186,10,2,186
2015/07/06,2,175,2,175,2,175,2,175,100,2,175
2015/07/08,1,910,1,910,1,900,1,900,360,1,900
2015/07/09,2,070,2,070,1,783,1,801,340,1,801
2015/07/10,2,039,2,039,1,998,1,998,40,1,998
2015/07/13,1,844,2,104,1,844,2,104,210,2,104
2015/07/23,2,104,2,104,2,103,2,103,20,2,103
2015/07/27,1,835,1,970,1,835,1,970,30,1,970
2015/08/04,1,960,1,960,1,902,1,902,30,1,902
2015/08/05,1,902,1,902,1,900,1,900,20,1,900
2015/08/11,1,905,1,905,1,905,1,905,60,1,905
2015/08/26,1,640,1,920,1,640,1,920,60,1,920
2015/09/16,1,800,1,800,1,800,1,800,20,1,800
