2011/06/02,18,140,18,140,18,090,18,120,363,18,120
2011/06/03,18,100,18,100,17,860,17,860,106,17,860
2011/06/06,17,860,17,860,17,650,17,670,156,17,670
2011/06/07,17,780,17,840,17,780,17,840,115,17,840
2011/06/08,17,820,17,830,17,790,17,790,237,17,790
2011/06/09,17,830,17,830,17,740,17,740,41,17,740
2011/06/13,17,730,17,760,17,730,17,750,36,17,750
2011/06/14,17,720,17,900,17,700,17,900,153,17,900
2011/06/15,18,070,18,070,18,010,18,010,128,18,010
2011/06/16,17,800,17,800,17,610,17,610,182,17,610
2011/06/17,17,680,17,680,17,440,17,440,69,17,440
2011/06/20,17,550,17,550,17,440,17,440,19,17,440
2011/06/21,17,560,17,560,17,560,17,560,5,17,560
2011/06/22,17,840,18,150,17,840,18,150,144,18,150
2011/06/23,17,980,18,010,17,980,18,010,2,18,010
2011/06/24,18,140,18,140,18,140,18,140,1,18,140
2011/06/27,18,120,18,120,17,970,17,970,14,17,970
2011/06/28,18,100,18,100,18,100,18,100,1,18,100
2011/06/29,18,260,18,260,18,250,18,260,83,18,260
2011/06/30,18,350,18,430,18,350,18,430,108,18,430
2015/08/19,28,210,28,210,27,920,27,920,12,27,920
2015/08/20,27,600,27,600,27,300,27,300,26,27,300
2015/08/21,26,990,27,030,26,800,26,800,25,26,800
2015/08/24,26,020,26,220,25,510,25,510,98,25,510
2015/08/25,24,950,25,410,24,220,24,500,129,24,500
2015/08/26,24,460,24,540,24,460,24,540,59,24,540
2015/08/27,25,540,25,780,25,340,25,340,42,25,340
2015/08/28,26,810,26,810,26,320,26,620,122,26,620
2015/08/31,26,550,26,550,26,160,26,400,33,26,400
2015/09/01,26,220,26,220,25,690,25,690,27,25,690
2015/09/02,25,500,25,500,25,020,25,020,28,25,020
2015/09/03,25,020,25,580,25,020,25,580,17,25,580
2015/09/04,25,500,25,500,24,790,24,930,21,24,930
2015/09/07,24,610,24,610,24,610,24,610,8,24,610
2015/09/08,25,140,25,140,24,950,24,950,32,24,950
2015/09/09,24,990,25,570,24,990,25,570,8,25,570
2015/09/11,25,730,25,730,25,630,25,640,24,25,640
2015/09/14,25,280,25,280,25,280,25,280,3,25,280
2015/09/15,25,560,25,560,25,550,25,550,2,25,550
2015/09/18,25,970,25,970,25,300,25,300,11,25,300
2015/09/24,24,920,24,920,24,820,24,820,11,24,820
2015/09/25,24,850,24,850,24,850,24,850,3,24,850
2015/09/28,25,000,25,000,24,600,24,600,13,24,600
2015/09/29,24,700,24,700,23,260,23,260,98,23,260
2015/09/30,23,290,23,770,23,290,23,770,85,23,770
2015/10/01,23,880,24,070,23,750,24,070,25,24,070
2015/10/02,24,140,24,140,23,930,23,930,4,23,930
2015/10/05,24,290,24,810,24,290,24,810,13,24,810
2015/10/06,25,260,25,280,25,080,25,080,22,25,080
2015/10/07,25,150,25,780,25,130,25,730,7,25,730
2015/10/08,25,820,25,820,25,800,25,800,6,25,800
2015/10/09,26,000,26,510,26,000,26,350,25,26,350
