2011/06/03,52,53,51,52,107,940,52
2011/06/06,51,53,50,52,139,790,52
2011/06/07,51,52,51,52,55,310,52
2011/06/08,51,52,50,50,98,790,50
2011/06/09,50,51,50,50,76,940,50
2011/06/10,50,51,50,50,46,850,50
2011/06/13,50,51,50,51,103,580,51
2011/06/14,50,51,50,51,69,310,51
2011/06/15,50,51,49,50,185,180,50
2011/06/16,50,50,48,50,397,810,50
2011/06/17,50,50,49,50,74,720,50
2011/06/20,50,50,49,49,71,500,49
2011/06/21,50,50,48,49,141,550,49
2011/06/22,49,50,48,50,86,360,50
2011/06/23,51,60,51,54,4,172,090,54
2011/06/24,54,54,51,53,579,780,53
2011/06/27,53,56,51,55,533,790,55
2011/06/28,55,57,54,55,551,470,55
2011/06/29,55,56,53,55,496,610,55
2011/06/30,56,56,54,54,174,150,54
2015/08/24,332,334,313,321,398,600,321
2015/08/25,297,320,295,305,561,000,305
2015/08/26,310,315,307,312,283,000,312
2015/08/27,312,317,307,308,362,200,308
2015/08/28,316,330,313,327,444,200,327
2015/08/31,333,333,322,327,198,300,327
2015/09/01,327,328,312,316,491,300,316
2015/09/02,307,317,307,312,192,200,312
2015/09/03,313,315,304,307,348,500,307
2015/09/04,307,310,297,304,322,100,304
2015/09/07,304,313,297,302,255,000,302
2015/09/08,303,309,298,298,143,900,298
2015/09/09,306,310,300,310,393,900,310
2015/09/10,305,307,302,303,140,600,303
2015/09/11,301,305,300,303,184,700,303
2015/09/14,306,306,301,302,146,100,302
2015/09/15,301,304,301,302,143,200,302
2015/09/16,309,315,304,307,287,700,307
2015/09/17,308,314,307,310,161,500,310
2015/09/18,308,310,305,310,116,500,310
2015/09/24,309,309,301,301,71,300,301
2015/09/25,300,303,298,301,127,400,301
2015/09/28,305,305,301,305,70,700,305
2015/09/29,302,303,294,296,189,800,296
2015/09/30,303,304,299,299,93,800,299
2015/10/01,300,303,298,299,140,400,299
2015/10/02,300,304,300,302,99,600,302
2015/10/05,304,305,302,304,88,700,304
2015/10/06,308,317,306,310,274,900,310
2015/10/07,314,320,312,320,158,700,320
2015/10/08,318,323,316,320,128,000,320
