2011/03/18,1,030,1,030,1,000,1,000,240,1,000
2011/03/31,1,085,1,085,1,085,1,085,100,1,085
2011/04/01,1,080,1,085,1,080,1,085,200,1,085
2011/04/04,1,100,1,115,1,100,1,100,6,500,1,100
2011/04/07,1,150,1,150,1,130,1,130,11,430,1,130
2011/04/08,1,130,1,130,1,130,1,130,2,000,1,130
2011/04/11,1,145,1,145,1,145,1,145,80,1,145
2011/04/12,1,100,1,100,1,100,1,100,2,000,1,100
2011/04/13,1,082,1,082,1,082,1,082,3,000,1,082
2011/04/14,1,100,1,100,1,100,1,100,10,000,1,100
2011/04/15,1,094,1,100,1,094,1,100,2,020,1,100
2011/04/18,1,110,1,110,1,110,1,110,1,500,1,110
2011/04/21,1,100,1,100,1,100,1,100,20,1,100
2011/04/25,1,107,1,107,1,107,1,107,100,1,107
2011/05/06,1,030,1,030,1,030,1,030,960,1,030
2011/05/09,1,015,1,015,1,010,1,010,60,1,010
2011/05/24,1,013,1,013,1,013,1,013,50,1,013
2011/06/02,1,045,1,045,1,045,1,045,500,1,045
2011/06/23,957,957,957,957,500,957
2011/06/24,950,950,950,950,250,950
2015/02/12,690,690,690,690,20,690
2015/02/13,690,690,580,690,360,690
2015/02/16,614,614,614,614,150,614
2015/02/19,624,624,624,624,20,624
2015/02/24,655,655,655,655,300,655
2015/03/05,700,700,700,700,20,700
2015/03/06,700,700,700,700,80,700
2015/03/13,650,650,650,650,100,650
2015/03/16,748,748,744,748,160,748
2015/03/26,600,670,600,670,130,670
2015/05/08,683,683,683,683,250,683
2015/06/15,665,665,665,665,100,665
2015/06/22,665,665,665,665,10,665
2015/06/23,639,639,639,639,20,639
2015/07/24,728,728,586,586,210,586
2015/07/27,680,680,680,680,10,680
2015/08/24,566,566,553,553,120,553
2015/08/25,543,543,535,535,380,535
2015/08/26,618,618,618,618,10,618
2015/08/27,535,625,535,625,50,625
