2011/06/03,500,500,500,500,300,250
2011/06/08,491,491,490,490,300,245
2011/06/09,486,490,485,490,1,800,245
2011/06/17,494,500,492,500,500,250
2011/06/22,495,502,495,502,1,300,251
2011/06/23,502,503,498,498,1,400,249
2011/06/24,493,498,491,498,13,500,249
2011/06/27,486,490,486,490,10,300,245
2011/06/29,491,500,491,500,1,700,250
2011/06/30,499,502,499,502,200,251
2015/08/24,972,996,916,925,128,400,925
2015/08/25,880,971,835,881,77,300,881
2015/08/26,903,965,890,943,37,600,943
2015/08/27,979,987,950,956,36,600,956
2015/08/28,995,996,972,994,36,200,994
2015/08/31,995,1,006,985,999,27,800,999
2015/09/01,998,998,957,968,35,500,968
2015/09/02,923,988,923,987,34,600,987
2015/09/03,982,982,950,959,21,900,959
2015/09/04,965,965,899,923,27,500,923
2015/09/07,893,913,880,904,21,600,904
2015/09/08,900,923,886,887,16,500,887
2015/09/09,921,930,900,930,12,900,930
2015/09/10,915,939,912,932,10,400,932
2015/09/11,940,969,940,955,15,800,955
2015/09/14,974,975,944,945,15,900,945
2015/09/15,945,962,943,950,9,200,950
2015/09/16,950,950,928,945,13,300,945
2015/09/17,950,950,942,950,6,800,950
2015/09/18,955,955,945,955,10,800,955
2015/09/24,959,969,955,969,18,600,969
2015/09/25,973,974,963,974,21,300,974
2015/09/28,950,959,942,958,18,000,958
2015/09/29,950,950,916,919,19,300,919
2015/09/30,924,937,915,920,8,100,920
2015/10/01,920,937,918,922,5,700,922
2015/10/02,922,931,921,926,8,600,926
2015/10/05,930,934,923,923,11,800,923
2015/10/06,927,932,919,921,15,500,921
2015/10/07,923,929,920,923,3,900,923
2015/10/08,923,928,915,922,10,500,922
2015/10/09,922,927,917,927,6,300,927
