2011/05/13,557,557,497,500,5,700,500
2011/05/16,500,500,496,496,600,496
2011/05/17,494,494,490,490,800,490
2011/05/18,490,490,490,490,200,490
2011/05/19,490,490,484,484,500,484
2011/05/20,484,484,484,484,100,484
2011/05/26,498,498,498,498,500,498
2011/05/27,498,498,498,498,500,498
2011/05/30,499,499,499,499,600,499
2011/05/31,500,500,500,500,400,500
2011/06/01,510,510,510,510,200,510
2011/06/06,525,525,525,525,100,525
2011/06/07,534,534,534,534,500,534
2011/06/08,538,538,538,538,400,538
2011/06/09,535,535,535,535,700,535
2011/06/10,543,543,543,543,400,543
2011/06/13,548,548,548,548,700,548
2011/06/27,535,535,535,535,400,535
2011/06/28,535,535,535,535,400,535
2011/06/29,549,549,549,549,600,549
2015/08/13,517,517,517,517,700,517
2015/08/14,510,510,510,510,100,510
2015/08/20,508,508,508,508,100,508
2015/08/24,503,503,469,490,800,490
2015/08/25,490,490,490,490,100,490
2015/08/26,505,505,505,505,400,505
2015/08/27,510,510,510,510,500,510
2015/08/28,512,512,512,512,500,512
2015/08/31,512,512,502,502,300,502
2015/09/01,512,512,512,512,200,512
2015/09/02,492,497,492,497,2,100,497
2015/09/04,493,494,493,494,200,494
2015/09/07,502,509,502,509,400,509
2015/09/08,509,509,509,509,300,509
2015/09/09,510,510,502,502,700,502
2015/09/10,503,503,503,503,300,503
2015/09/11,509,509,509,509,800,509
2015/09/14,509,509,509,509,100,509
2015/09/15,499,499,485,485,1,400,485
2015/09/17,495,495,495,495,100,495
2015/09/28,513,513,500,500,900,500
2015/09/29,504,504,504,504,400,504
2015/09/30,509,509,509,509,600,509
2015/10/01,509,509,509,509,300,509
2015/10/02,509,509,501,501,200,501
2015/10/06,517,578,510,510,4,300,510
2015/10/07,520,540,510,540,2,900,540
